             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7376623    gengpu voluntee   ekw346  R    7:43:22      1 qgpu0203
        7376604_19    gengpu ${SLURM_  rzg8181  R    7:49:24      1 qgpu0202
           7355632    gengpu cocr2/Co  aha6273  R   20:17:12      1 qgpu0204
           7355634    gengpu cocr2/Co  aha6273  R   20:17:12      1 qgpu0205
           7355637    gengpu cocr2/Co  aha6273  R   20:17:12      1 qgpu0205
           7355639    gengpu cocr2/Cr  aha6273  R   20:17:12      1 qgpu0206
           7355641    gengpu cocr2/Cr  aha6273  R   20:17:12      1 qgpu0206
           7293685    gengpu cocr2/Co  aha6273  R 1-13:07:00      1 qgpu0208
           7293686    gengpu cocr2/Co  aha6273  R 1-13:07:00      1 qgpu0408
           7293687    gengpu cocr2/Co  aha6273  R 1-13:07:00      1 qgpu0408
           7293688    gengpu cocr2/Cr  aha6273  R 1-13:07:00      1 qgpu0201
           7293689    gengpu cocr2/Cr  aha6273  R 1-13:07:00      1 qgpu0201
           7387378  genhimem     bash  hzh3704  R      26:46      1 qhimem0206
           7387220  genhimem interact   mdn578  R      35:54      1 qhimem0206
           6761097      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761096      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761095      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761094      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761092      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761091      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761090      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761089      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761087      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761086      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761085      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761084      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761082      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761081      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761080      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6761079      long layer25_  hlw0901 PD       0:00      4 (Priority)
           6758488      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758487      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758486      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758485      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758483      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758482      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758481      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758480      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758478      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758477      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758476      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758475      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758473      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758472      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758471      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758470      long layer23_  hlw0901 PD       0:00      4 (Priority)
           6758468      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758467      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758466      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758465      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758463      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758462      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758461      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758460      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758458      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758457      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758456      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758455      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758453      long layer20_  hlw0901 PD       0:00      4 (Priority)
           6758452      long layer20_  hlw0901 PD       0:00      4 (Resources)
           6994832      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           6994831      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           6994865      long layer6_v  hlw0901 PD       0:00      4 (Priority)
