JobID           JobName  Partition    Account  AllocCPUS      State ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
7366636_2    sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_3    sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_4    sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_5    sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_66   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_69   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_70   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_71   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_72   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_95   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_96   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_98   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_99   sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_100  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_101  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_102  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_103  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_104  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_106  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_107  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_109  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_110  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_112  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_131  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_132  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_133  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_134  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_135  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_136  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_137  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_138  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_141  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_145  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_146  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_147  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_148  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_153  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_154  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_155  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_156  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_157  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_158  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_159  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_160  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_161  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_162  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_163  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_164  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_165  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_166  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_167  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_168  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_169  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_170  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_171  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_172  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_173  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_174  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_176  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_177  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_178  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_179  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_180  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_181  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_182  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_183  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_184  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_185  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_186  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_187  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_188  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_189  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_190  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_210  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_211  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_212  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_213  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_214  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_216  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_217  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_218  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_220  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_221  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_222  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_223  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_225  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_226  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_227  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_228  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_229  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_248  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_289  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_290  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_291  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_292  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_293  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_294  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_295  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_297  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_299  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_300  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_301  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_302  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_303  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_306  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_307  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_309  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_311  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_312  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_314  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_315  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_338  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_476  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_478  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_479  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_480  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_481  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_483  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_484  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_485  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_486  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_487  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_488  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_489  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_490  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_522  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_524  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_525  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_526  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_527  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_528  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_529  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_530  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_532  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_533  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_534  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_535  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_536  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_537  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_566  sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
7366636_567  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
7366636_568  sc${SLURM+     normal     p31578          1 CANCELLED+      0:0 
