JobID           JobName  Partition    Account  AllocCPUS      State ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
3239693_2643 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2644 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2658 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2659 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2660 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2662 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2663 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2668 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2669 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2670 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2680 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2681 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2682 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2683 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2684 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2687 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2688 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2695 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2698 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2699 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2700 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2701 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2801 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2802 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2803 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2804 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2805 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2806 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2807 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2808 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2809 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2810 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2811 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2812 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2813 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2814 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2815 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2816 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2819 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2820 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2821 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2822 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2823 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2824 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2828 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2829 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2830 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2831 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2832 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2833 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2835 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2836 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2837 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2838 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2839 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2842 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2843 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2844 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2846 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2849 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2852 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2853 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2854 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2855 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2856 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2859 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2860 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2873 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2874 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2875 sc${SLURM+     normal     p31578          1  COMPLETED      0:0 
3239693_2902 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2903 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2904 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2905 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2906 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2907 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2908 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2909 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2910 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2911 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2912 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
