"brodmann_area","aal_label"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA40","Parietal_Inf_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA39","Parietal_Inf_R"
"Right-BA39","Angular_R"
"Right-BA39","Angular_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","SupraMarginal_R"
"Right-BA39","Angular_R"
"Right-BA39","Angular_R"
"Right-BA39","Occipital_Mid_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","SupraMarginal_R"
"Right-BA39","SupraMarginal_R"
"Right-BA39","Angular_R"
"Right-BA39","Angular_R"
"Right-BA39","Occipital_Mid_R"
"Right-PrimAuditory (41)","Temporal_Sup_R"
"Right-BA22","Temporal_Sup_R"
"Right-BA39","Temporal_Sup_R"
"Right-BA39","Temporal_Mid_R"
"Right-BA19","Temporal_Mid_R"
"Right-BA19","Occipital_Mid_R"
"Right-BA22","Temporal_Sup_R"
"Right-BA21","Temporal_Mid_R"
"Right-Fusiform (37)","Temporal_Mid_R"
"Right-Fusiform (37)","Temporal_Mid_R"
"Right-Fusiform (37)","Temporal_Mid_R"
"Right-BA19","Occipital_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-Fusiform (37)","Temporal_Mid_R"
"Right-Fusiform (37)","Temporal_Inf_R"
"Right-Fusiform (37)","Temporal_Inf_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA21","Temporal_Mid_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Fusiform_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Fusiform_R"
"Right-Parahip (36)","Cerebelum_6_R"
"Right-Fusiform (37)","Cerebelum_6_R"
"Right-Fusiform (37)","Cerebelum_Crus1_R"
"Right-VisualAssoc (18)","Lingual_R"
"Right-VisualAssoc (18)","Lingual_R"
"Right-VisualAssoc (18)","Occipital_Mid_R"
"Left-BA6","Frontal_Sup_L"
"Left-BA6","Precentral_L"
"Left-BA6","Precentral_L"
"Left-BA6","Precentral_L"
"Left-BA7","Postcentral_L"
"Left-SensoryAssoc (5)","Postcentral_L"
"Left-PrimSensory (1)","Postcentral_L"
"Left-PrimSensory (1)","Postcentral_L"
"Left-PrimSensory (1)","Postcentral_L"
"Left-BA32","Cingulum_Ant_L"
"Left-BA32","Cingulum_Ant_L"
"Left-BA32","Cingulum_Ant_L"
"Left-BA8","Cingulum_Mid_L"
"Left-BA6","Supp_Motor_Area_L"
"Left-BA6","Precentral_L"
"Left-PrimMotor (4)","Postcentral_L"
"Left-PrimSensory (1)","Postcentral_L"
"Left-BA31","Cuneus_L"
"Left-BA7","Cuneus_L"
"Left-BA7","Angular_L"
"Left-Parahip (36)","ParaHippocampal_L"
"Left-Parahip (36)","ParaHippocampal_L"
"Left-Fusiform (37)","Fusiform_L"
"Left-Parahip (36)","Fusiform_L"
"Left-Fusiform (37)","Fusiform_L"
"Left-BA20","Temporal_Inf_L"
"Left-BA20","Temporal_Inf_L"
"Left-BA21","Temporal_Inf_L"
"Left-Fusiform (37)","Temporal_Inf_L"
"Right-BA24","Cingulum_Ant_L"
"Right-BA24","Cingulum_Ant_R"
"Right-BA32","Cingulum_Ant_R"
"Right-BA24","Cingulum_Mid_R"
"Right-BA32","Cingulum_Mid_R"
"Right-BA6","Supp_Motor_Area_R"
"Left-Parahip (36)","Cerebelum_4_5_L"
"Left-Fusiform (37)","Cerebelum_4_5_L"
"Left-Fusiform (37)","Cerebelum_4_5_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA9","Frontal_Mid_L"
"Left-BA40","SupraMarginal_L"
"Left-BA40","SupraMarginal_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Right-BA24","Cingulum_Ant_L"
"Right-BA32","Cingulum_Ant_R"
"Right-BA8","Frontal_Sup_Medial_L"
"Right-BA6","Supp_Motor_Area_R"
"Right-BA6","Supp_Motor_Area_R"
"Right-BA6","Supp_Motor_Area_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA6","Frontal_Mid_R"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-PrimSensory (1)","SupraMarginal_R"
"Right-BA20","Temporal_Inf_R"
"Right-BA20","Cerebelum_Crus1_R"
"Right-Fusiform (37)","Cerebelum_Crus1_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA39","Parietal_Inf_R"
"Right-BA40","SupraMarginal_R"
"Left-BA9","Frontal_Sup_L"
"Left-BA9","Frontal_Sup_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA6","Frontal_Sup_L"
"Left-BA6","Frontal_Sup_L"
"Left-BA10","Frontal_Sup_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA9","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA9","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA6","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA46","Frontal_Inf_Tri_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA9","Frontal_Inf_Tri_L"
"Left-BA9","Frontal_Mid_L"
"Left-BA8","Frontal_Mid_L"
"Left-BA6","Precentral_L"
"Right-BA10","Cingulum_Ant_R"
"Right-BA9","Frontal_Sup_Medial_L"
"Right-BA9","Frontal_Sup_Medial_R"
"Right-BA10","Frontal_Med_Orb_R"
"Right-BA10","Frontal_Sup_Medial_R"
"Right-BA10","Frontal_Sup_Medial_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA10","Frontal_Inf_Orb_L"
"Left-BA10","Frontal_Mid_Orb_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Left-BA10","Frontal_Mid_L"
"Right-BA10","Frontal_Mid_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA8","Frontal_Inf_Oper_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA10","Frontal_Sup_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA10","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA9","Frontal_Mid_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA10","Frontal_Sup_Medial_R"
"Right-BA9","Frontal_Sup_R"
"Right-BA9","Frontal_Sup_R"
"Right-BA8","Frontal_Sup_R"
"Right-BA8","Frontal_Sup_R"
"Right-BA8","Frontal_Sup_R"
"Right-BA6","Frontal_Sup_R"
"Right-BA9","Frontal_Sup_Medial_L"
"Right-BA8","Frontal_Sup_Medial_R"
"Right-BA11","Rectus_R"
"Right-BA10","Frontal_Med_Orb_R"
"Right-BA10","Frontal_Sup_Medial_R"
"Right-BA6","Supp_Motor_Area_R"
"Right-BA11","Frontal_Sup_Orb_R"
"Right-BA47","Frontal_Mid_Orb_R"
"Right-BA10","Frontal_Mid_Orb_R"
"Right-BA10","Frontal_Mid_Orb_R"
"Right-BA10","Frontal_Mid_Orb_R"
"Right-BA10","Frontal_Mid_R"
"Right-PrimAuditory (41)","Temporal_Sup_R"
"Right-PrimAuditory (41)","Temporal_Sup_R"
"Right-BA39","Temporal_Mid_R"
"Right-PrimMotor (4)","Postcentral_R"
"Right-BA40","Temporal_Sup_R"
"Right-BA22","Temporal_Sup_R"
"Right-BA39","SupraMarginal_R"
"Right-PrimMotor (4)","Postcentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-PrimSensory (1)","SupraMarginal_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","SupraMarginal_R"
"Right-BA6","Precentral_R"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA40","SupraMarginal_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA6","Precentral_R"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-PrimSensory (1)","Parietal_Inf_R"
"Right-BA40","Parietal_Inf_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA6","Frontal_Mid_R"
"Right-BA6","Precentral_R"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA8","Frontal_Mid_R"
"Right-BA6","Frontal_Mid_R"
"Right-BA6","Precentral_R"
"Right-BA6","Precentral_R"
"Right-PrimMotor (4)","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-BA6","Frontal_Sup_R"
"Right-BA6","Precentral_R"
"Right-BA6","Precentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Right-PrimSensory (1)","Postcentral_R"
"Left-Amygdala (53)","Hippocampus_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-Hippocampus (54)","Hippocampus_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-BA21","Temporal_Mid_L"
"Left-Insula (13)","Insula_L"
"Left-Insula (13)","Insula_L"
"Left-Insula (13)","Insula_L"
"Left-Insula (13)","Insula_L"
"Left-BA44","Frontal_Inf_Oper_L"
"Left-BA20","Temporal_Inf_L"
"Left-BA21","Temporal_Inf_L"
"Left-BA21","Temporal_Inf_L"
"Right-BA23","Cingulum_Post_R"
"Right-BA23","Cingulum_Post_R"
"Right-BA40","Insula_R"
"Right-BA23","Cingulum_Mid_R"
"Right-BA23","Cingulum_Mid_R"
"Right-BA23","Cingulum_Mid_R"
"Right-BA23","Cingulum_Mid_R"
"Right-BA39","Angular_R"
"Right-BA23","Precuneus_R"
"Right-BA39","Calcarine_R"
"Right-BA39","Temporal_Mid_R"
"Right-BA31","Precuneus_R"
"Right-BA31","Occipital_Sup_R"
"Right-BA7","Occipital_Sup_R"
"Right-BA39","Occipital_Mid_R"
"Right-BA39","Angular_R"
"Right-BA39","Angular_R"
"Right-Parahip (36)","ParaHippocampal_R"
"Right-Hippocampus (54)","ParaHippocampal_R"
"Right-Hippocampus (54)","Hippocampus_R"
"Right-Hippocampus (54)","Fusiform_R"
"Right-BA21","Temporal_Inf_R"
"Right-BA21","Temporal_Mid_R"
"Left-BA19","Lingual_L"
"Left-BA23","Precuneus_L"
"Left-BA23","Precuneus_L"
"Left-BA23","Cingulum_Post_L"
"Left-BA31","Precuneus_L"
"Left-BA7","Parietal_Sup_L"
"Left-Parahip (36)","ParaHippocampal_L"
"Left-Parahip (36)","Fusiform_L"
"Left-VisualAssoc (18)","Lingual_L"
"Left-VisualAssoc (18)","Lingual_L"
"Left-VisualAssoc (18)","Occipital_Inf_L"
"Left-BA19","Occipital_Inf_L"
"Left-BA19","Occipital_Inf_L"
"Left-BA11","Frontal_Inf_Orb_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA47","Frontal_Mid_Orb_L"
"Left-BA47","Frontal_Inf_Orb_L"
"Left-BA22","Temporal_Mid_L"
"Left-BA22","Temporal_Mid_L"
"Left-BA22","Temporal_Mid_L"
"Left-BA22","Temporal_Mid_L"
