encRet,reg,count
encReact,acc,5
retReact,acc,8
bothReact,acc,5
noReact,acc,18
encReact,dlPFC,35
retReact,dlPFC,26
bothReact,dlPFC,57
noReact,dlPFC,78
encReact,hip,4
retReact,hip,8
bothReact,hip,8
noReact,hip,17
encReact,lTemp,43
retReact,lTemp,49
bothReact,lTemp,86
noReact,lTemp,63
encReact,iTemp,10
retReact,iTemp,17
bothReact,iTemp,21
noReact,iTemp,12
encReact,mtl,14
retReact,mtl,16
bothReact,mtl,23
noReact,mtl,9
encReact,pcc,3
retReact,pcc,7
bothReact,pcc,4
noReact,pcc,17
encReact,pPFC,12
retReact,pPFC,1
bothReact,pPFC,15
noReact,pPFC,5
encReact,vis,3
retReact,vis,1
bothReact,vis,11
noReact,vis,1
